timestamp,service_name,environment,log_level,error_code,message,request_id,response_time_ms,user_id_masked
11/01/2024 08:08,notification-service,staging,WARN,,Memory usage at 80%,REQ-66718,307.0,u***635
2024-11-01 08:08:00,auth-service,prod,INFO,,Health check passed,REQ-11092,53.0,u***491
2024-11-01 08:16:00,notification-service,staging,INFO,,Connection established,REQ-13516,273.0,
2024-11-01 08:00:00,auth-service,prod,ERROR,ERR_001,,REQ-84040,649.0,u***301
2024-11-01 08:08:00,notification-service,staging,ERROR,ERR_003,,REQ-39616,,u***357
2024-11-01 08:09:00,auth-service,prod,INFO,,Request processed successfully,REQ-76300,240.0,
2024-11-01 08:08:00,user-api,prod,INFO,,Health check passed,REQ-59244,683.0,
2024-11-01 08:06:00,notification-service,staging,INFO,,Request processed successfully,REQ-97059,264.0,u***887
2024-11-01 09:04:00,payment-gateway,staging,INFO,,Request processed successfully,REQ-65249,365.0,u***230
2024-11-01 08:15:00,transaction-processor,prod,INFO,,Connection established,REQ-83775,198.0,
2024-11-01 08:11:00,transaction-processor,prod,WARN,,Rate limit approaching,REQ-63524,288.0,u***409
2024-11-01 08:05:00,notification-service,staging,INFO,,Request processed successfully,REQ-65752,229.0,u***666
2024-11-01 08:16:00,transaction-processor,prod,INFO,,Health check passed,REQ-29869,266.0,
2024-11-01 08:24:00,auth-service,prod,INFO,,Request processed successfully,REQ-86763,152.0,
2024-11-01 08:23:00,user-api,prod,INFO,,Connection established,REQ-96045,654.0,
2024-11-01 08:09:00,notification-service,staging,ERROR,,,REQ-75979,,u***206
2024-11-01 08:24:00,notification-service,staging,WARN,,High latency detected,REQ-37471,609.0,u***149
2024-11-01 08:09:00,notification-service,staging,INFO,,Health check passed,REQ-87769,368.0,u***360
2024-11-01 08:10:00,transaction-processor,prod,WARN,,High latency detected,REQ-14181,178.0,u***770
2024-11-01 08:00:00,transaction-processor,prod,WARN,,Rate limit approaching,REQ-26268,333.0,u***176
2024-11-01 09:42:00,notification-service,staging,INFO,,Request processed successfully,REQ-22075,97.0,
2024-11-01 09:02:00,notification-service,staging,ERROR,ERR_001,,REQ-49639,,u***261
2024-11-01 09:08:00,auth-service,prod,INFO,,Health check passed,REQ-59442,53.0,
2024-11-01 09:55:00,user-api,prod,WARN,,Memory usage at 80%,REQ-23599,114.0,u***308
2024-11-01 09:03:00,auth-service,prod,ERROR,ERR_002,Timeout after 30s,REQ-45392,304.0,u***561
11/01/2024 09:07,user-api,prod,INFO,,Request processed successfully,REQ-41752,628.0,
2024-11-01 09:07:00,notification-service,staging,INFO,,Cache refreshed,REQ-27756,200.0,
2024-11-01 09:02:00,auth-service,prod,INFO,,Health check passed,REQ-12569,54.0,
2024-11-01 09:02:00,user-api,prod,INFO,,Request processed successfully,REQ-69369,130.0,
2024-11-01 09:04:00,auth-service,prod,FATAL,ERR_500,,REQ-99451,,u***705
2024-11-01 09:04:00,payment-gateway,staging,INFO,,Health check passed,REQ-35223,72.0,u***926
2024-11-01 09:00:00,user-api,prod,ERROR,ERR_001,Database connection failed,REQ-27756,,u***177
2024-11-01 09:00:00,auth-service,prod,ERROR,ERR_500,,REQ-17236,64.0,u***330
2024-11-01 09:03:00,transaction-processor,prod,INFO,,Request processed successfully,REQ-56668,260.0,u***734
2024-11-01 09:06:00,user-api,prod,INFO,,Health check passed,REQ-85358,145.0,u***506
